Commoditygroups,DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDateMonth,CountryofOrigin,ArrivalatDPE,Forimport,CommodityCode,Descriptionofcommodity,Producttemperature,Commodityintendedfor,Documentarycheck,AcceptableforTransfer,NotAcceptable,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,Acceptableforreleaseforfreecirculation,NotAcceptable2,ReasonforRefusal,DPEName,NoOfConsignments,NetWeightKg
Other/Miscellaneous edible preparations,2018-11-21,2018,Q4,11,21,2018-11-26,Japan,2018-11-25,For import,21069092,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,32
Other/Miscellaneous edible preparations,2018-11-22,2018,Q4,11,22,2018-11-27,Japan,2018-11-28,For import,21069098,Other,Frozen,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,56
Other/Miscellaneous edible preparations,2018-11-22,2018,Q4,11,22,2018-11-27,Japan,2018-11-28,For import,21039090,Other,Frozen,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,2880
Other/Miscellaneous edible preparations,2018-11-22,2018,Q4,11,22,2018-11-27,Japan,2018-11-28,For import,21069098,Other,Frozen,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,245
Other/Miscellaneous edible preparations,2018-11-23,2018,Q4,11,23,2018-11-24,Japan,2018-11-27,For import,21069092,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,4
"Other/Preparations of cereals, flour, starch or milk",2018-10-03,2018,Q4,10,3,2018-11-02,China,2018-10-10,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,16200
"Other/Preparations of cereals, flour, starch or milk",2018-10-17,2018,Q4,10,17,2018-11-02,China,2018-10-24,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,16200
"Other/Preparations of cereals, flour, starch or milk",2018-10-22,2018,Q4,10,22,2018-11-05,China,2018-10-25,For import,19023010,Dried,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,13650
"Other/Preparations of cereals, flour, starch or milk",2018-10-29,2018,Q4,10,29,2018-11-14,China,2018-11-03,For import,19023010,Dried,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,9000
"Other/Preparations of cereals, flour, starch or milk",2018-10-29,2018,Q4,10,29,2018-11-15,China,2018-11-03,For import,19023010,Dried,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,3600
"Other/Preparations of cereals, flour, starch or milk",2018-10-29,2018,Q4,10,29,2018-11-15,China,2018-11-03,For import,19023010,Dried,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,3060
"Other/Preparations of cereals, flour, starch or milk",2018-10-29,2018,Q4,10,29,2018-11-15,China,2018-11-03,For import,19023010,Dried,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,5400
"Other/Preparations of cereals, flour, starch or milk",2018-10-30,2018,Q4,10,30,2018-11-01,Japan,2018-10-31,For import,19021990,Other,Frozen,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,540
"Other/Preparations of cereals, flour, starch or milk",2018-11-05,2018,Q4,11,5,2018-11-19,China,2018-11-01,For import,19023010,Dried,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,3060
"Other/Preparations of cereals, flour, starch or milk",2018-11-05,2018,Q4,11,5,2018-11-19,China,2018-11-01,For import,19023010,Dried,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,4680
"Other/Preparations of cereals, flour, starch or milk",2018-11-05,2018,Q4,11,5,2018-11-19,China,2018-11-01,For import,19023010,Dried,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,1800
"Other/Preparations of cereals, flour, starch or milk",2018-11-06,2018,Q4,11,6,2018-11-15,China,2018-11-03,For import,19059055,"Extruded or expanded products, savoury or salted",Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,4390
"Other/Preparations of cereals, flour, starch or milk",2018-11-07,2018,Q4,11,7,2018-11-15,China,2018-11-10,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,16200
"Other/Preparations of cereals, flour, starch or milk",2018-11-07,2018,Q4,11,7,2018-11-15,China,2018-11-10,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,16200
"Other/Preparations of cereals, flour, starch or milk",2018-11-12,2018,Q4,11,12,2018-11-23,China,2018-11-15,For import,19023010,Dried,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,13650
"Other/Preparations of cereals, flour, starch or milk",2018-11-14,2018,Q4,11,14,2018-11-23,China,2018-11-15,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,16137
"Other/Preparations of cereals, flour, starch or milk",2018-11-14,2018,Q4,11,14,2018-11-23,China,2018-11-15,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,16200
"Other/Preparations of cereals, flour, starch or milk",2018-11-14,2018,Q4,11,14,2018-11-30,China,2018-11-24,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,16164
"Other/Preparations of vegetables, fruit, nuts",2018-10-12,2018,Q4,10,12,2018-11-02,China,2018-10-20,For import,20081191,In immediate packings of a net content exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,9000
"Other/Preparations of vegetables, fruit, nuts",2018-10-23,2018,Q4,10,23,2018-11-05,Turkey,2018-10-25,For import,200819,"Other than 2008 11, including mixtures",Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,"Southampton, P",1,1000
"Other/Preparations of vegetables, fruit, nuts",2018-10-26,2018,Q4,10,26,2018-11-04,Turkey,2018-11-03,For import,20081919,Other,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,8000
"Other/Preparations of vegetables, fruit, nuts",2018-10-26,2018,Q4,10,26,2018-11-04,Turkey,2018-11-03,For import,20081919,Other,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,12000
"Other/Preparations of vegetables, fruit, nuts",2018-10-26,2018,Q4,10,26,2018-11-09,Lebanon,2018-10-25,For import,2001909719,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,.DYES,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,2532
"Other/Preparations of vegetables, fruit, nuts",2018-10-26,2018,Q4,10,26,2018-11-12,Turkey,2018-10-31,For import,20081919,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,21000
"Other/Preparations of vegetables, fruit, nuts",2018-10-26,2018,Q4,10,26,2018-11-27,China,2018-11-14,For import,20081191,In immediate packings of a net content exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,3000
"Other/Preparations of vegetables, fruit, nuts",2018-10-26,2018,Q4,10,26,2018-11-27,China,2018-11-14,For import,20081191,In immediate packings of a net content exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,14350
"Other/Preparations of vegetables, fruit, nuts",2018-10-29,2018,Q4,10,29,2018-11-01,Turkey,2018-11-04,For import,20081919,Other,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,3000
"Other/Preparations of vegetables, fruit, nuts",2018-10-29,2018,Q4,10,29,2018-11-01,Turkey,2018-11-04,For import,20081919,Other,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,5000
"Other/Preparations of vegetables, fruit, nuts",2018-10-29,2018,Q4,10,29,2018-11-02,Turkey,2018-11-04,For import,20081919,Other,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,2000
"Other/Preparations of vegetables, fruit, nuts",2018-10-30,2018,Q4,10,30,2018-11-01,Japan,2018-10-31,For import,20049098,Other,Frozen,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,27
"Other/Preparations of vegetables, fruit, nuts",2018-10-30,2018,Q4,10,30,2018-11-01,Japan,2018-10-31,For import,20049098,Other,Frozen,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,276
"Other/Preparations of vegetables, fruit, nuts",2018-10-30,2018,Q4,10,30,2018-11-01,Japan,2018-10-31,For import,20039090,Other,Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,96
"Other/Preparations of vegetables, fruit, nuts",2018-10-30,2018,Q4,10,30,2018-11-02,Turkey,2018-11-04,For import,20081919,Other,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,4000
