Commoditygroups,DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDateMonth,CountryofOrigin,ArrivalatDPE,Forimport,CommodityCode,Descriptionofcommodity,Producttemperature,Commodityintendedfor,Documentarycheck,AcceptableforTransfer,NotAcceptable,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,Acceptableforreleaseforfreecirculation,NotAcceptable2,ReasonforRefusal,DPEName,NoOfConsignments,NetWeightKg
Other/Miscellaneous edible preparations,2019-09-11,2019,Q3,9,11,2019-09-13,Japan,2019-09-14,For import,21039090,Other,Frozen,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,132
Other/Miscellaneous edible preparations,2019-09-11,2019,Q3,9,11,2019-09-13,Japan,2019-09-14,For import,21039090,Other,Frozen,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,3300
Other/Miscellaneous edible preparations,2019-09-11,2019,Q3,9,11,2019-09-13,Japan,2019-09-14,For import,21069092,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Frozen,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,181
Other/Miscellaneous edible preparations,2019-09-11,2019,Q3,9,11,2019-09-13,Japan,2019-09-14,For import,21039090,Other,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,965
Other/Miscellaneous edible preparations,2019-09-17,2019,Q3,9,17,2019-09-18,Japan,2019-09-18,For import,21041000,Soups and broths and preparations therefor,Frozen,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,3662
Other/Miscellaneous edible preparations,2019-09-17,2019,Q3,9,17,2019-09-24,Japan,2019-09-19,For import,21039090,Other,Frozen,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,188
Other/Miscellaneous edible preparations,2019-09-17,2019,Q3,9,17,2019-09-24,Japan,2019-09-19,For import,21039090,Other,Frozen,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,5844
Other/Miscellaneous edible preparations,2019-09-18,2019,Q3,9,18,2019-09-18,Japan,2019-09-18,For import,21031000,Soya sauce,Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,2634
Other/Miscellaneous edible preparations,2019-09-18,2019,Q3,9,18,2019-09-18,Japan,2019-09-18,For import,21041000,Soups and broths and preparations therefor,Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,354
Other/Miscellaneous edible preparations,2019-09-18,2019,Q3,9,18,2019-09-18,Japan,2019-09-18,For import,21069092,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,0
Other/Miscellaneous edible preparations,2019-09-20,2019,Q3,9,20,2019-09-24,Japan,2019-09-22,For import,21061020,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,Heathrow,1,66
Other/Miscellaneous edible preparations,2019-09-24,2019,Q3,9,24,2019-09-30,Japan,2019-09-29,For import,21069092,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,4
Other/Miscellaneous edible preparations,2019-09-25,2019,Q3,9,25,2019-09-26,Japan,2019-09-26,For import,21031000,Soya sauce,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,1847
Other/Miscellaneous edible preparations,2019-09-25,2019,Q3,9,25,2019-09-26,Japan,2019-09-26,For import,21041000,Soups and broths and preparations therefor,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,374
Other/Miscellaneous edible preparations,2019-09-25,2019,Q3,9,25,2019-09-26,Japan,2019-09-26,For import,21069092,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,0
"Other/Preparations of cereals, flour, starch or milk",2019-08-14,2019,Q3,8,14,2019-09-06,China,2019-08-24,For import,19059055,"Extruded or expanded products, savoury or salted",Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,4390
"Other/Preparations of cereals, flour, starch or milk",2019-08-22,2019,Q3,8,22,2019-09-03,China,2019-08-26,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Southampton, P",1,1935
"Other/Preparations of cereals, flour, starch or milk",2019-08-22,2019,Q3,8,22,2019-09-03,China,2019-08-26,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Southampton, P",1,1935
"Other/Preparations of cereals, flour, starch or milk",2019-08-22,2019,Q3,8,22,2019-09-06,China,2019-08-28,For import,19049010,Obtained from rice,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,21000
"Other/Preparations of cereals, flour, starch or milk",2019-08-22,2019,Q3,8,22,2019-09-09,China,2019-08-26,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Southampton, P",1,12060
"Other/Preparations of cereals, flour, starch or milk",2019-08-22,2019,Q3,8,22,2019-09-09,China,2019-09-01,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Southampton, P",1,2520
"Other/Preparations of cereals, flour, starch or milk",2019-08-22,2019,Q3,8,22,2019-09-16,China,2019-09-01,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Southampton, P",1,6868
"Other/Preparations of cereals, flour, starch or milk",2019-08-22,2019,Q3,8,22,2019-09-20,China,2019-08-26,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Southampton, P",1,1834
"Other/Preparations of cereals, flour, starch or milk",2019-08-23,2019,Q3,8,23,2019-09-27,China,2019-07-30,For import,1902,"Pasta, whether or not cooked or stuffed (with meat or other substances) or otherwise prepared, such as spaghetti, macaroni, noodles, lasagne, gnocchi, ravioli, cannelloni; couscous, whether or not prepared",Ambient,Human consumption,Not satisfactory,-,Destruction,/,/,no,-,-,-,-,-, ,1,134
