DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDate(Month),ConsignorCountryCode,DPEName,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,Descriptionofcommodity,Totalnumberofpackages,TotalNetWeight(kg),Commodityintendedfor,DocumentaryCheck,Acceptablefortransfer,NotAcceptable1 ,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor:,Results:,Acceptableforreleaseforfree circulation ,NotAcceptable2,ReasonforRefusal,NoOfConsignments
2018-10-08,2018,Q4,Oct,8,2018-10,TR,London Gateway,GB,Turkey,GB,GB,200799,"Other than 2007 10, 2007 91.",1400,21000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-08,2018,Q4,Oct,8,2018-10,IN,"Felixstowe, P",GB,India,GB,GB,20081110,Peanut butter,4075,22623,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-08,2018,Q4,Oct,8,2018-10,IN,"Felixstowe, P",GB,India,GB,GB,20081995,Other,150,270,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-08,2018,Q4,Oct,8,2018-10,TR,London Gateway,GB,Turkey,GB,GB,200799,"Other than 2007 10, 2007 91.",1400,21000,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-10-09,2018,Q4,Oct,9,2018-10,JP,"Southampton, P",GB,Japan,GB,GB,20049098,Other,47,110,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-10,2018,Q4,Oct,10,2018-10,TR,London Gateway,GB,Turkey,GB,GB,20085061,With a sugar content exceeding 13|% by weight,5244,15475,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-10,2018,Q4,Oct,10,2018-10,TR,"Felixstowe, P",GB,Turkey,GB,GB,2008199320,Pistachios,296,426,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-10,2018,Q4,Oct,10,2018-10,TR,London Gateway,GB,Turkey,GB,GB,200799,"Other than 2007 10, 2007 91.",1400,21000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-10,2018,Q4,Oct,10,2018-10,TR,"Felixstowe, P",GB,Turkey,GB,GB,20081995,Other,197,284,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-10,2018,Q4,Oct,10,2018-10,TR,"Felixstowe, P",GB,Turkey,GB,GB,20081919,Other,400,4000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
