"Commoditygroups","DeclarationDate","YearofDeclaration","QuarterofDeclaration","MonthofDeclaration","DayofDeclaration","DecisionControlDateMonth","CountryofOrigin","ArrivalatDPE","Forimport","CommodityCode","Descriptionofcommodity","Producttemperature","Commodityintendedfor","Documentarycheck","AcceptableforTransfer","NotAcceptable","IdentityCheck","PhysicalCheck","LaboratoryTests","TestedFor","Results","Acceptableforreleaseforfreecirculation","NotAcceptable2","ReasonforRefusal","DPEName","NoOfConsignments","NetWeightKg"
"Other/Preparations of vegetables, fruit, nuts","2019-07-30","2019","Q3","7","30","2019-08-13","Turkey","2019-08-01","For import","2008191930","Hazelnuts","Ambient","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","Aflatoxins","Satisfactory","Human consumption","-","-","Felixstowe, P","1","2000"
"Other/Preparations of vegetables, fruit, nuts","2019-07-31","2019","Q3","7","31","2019-08-13","Turkey","2019-08-01","For import","2008191320","Pistachios","Ambient","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","Aflatoxins","Satisfactory","Human consumption","-","-","Felixstowe, P","1","6000"
"Other/Preparations of vegetables, fruit, nuts","2019-08-01","2019","Q3","8","1","2019-08-05","Japan","2019-08-06","For import","20049098","Other","Frozen","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","3369"
"Other/Preparations of vegetables, fruit, nuts","2019-08-01","2019","Q3","8","1","2019-08-07","China","2019-08-02","For import","20081191","In immediate packings of a net content exceeding 1|kg","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Felixstowe, P","1","13000"
"Other/Preparations of vegetables, fruit, nuts","2019-08-02","2019","Q3","8","2","2019-08-05","Turkey","2019-08-07","For import","2008191930","Hazelnuts","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Felixstowe, P","1","2000"
"Other/Preparations of vegetables, fruit, nuts","2019-08-02","2019","Q3","8","2","2019-08-06","Turkey","2019-08-08","For import","20079997","Other","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Felixstowe, P","1","500"
"Other/Preparations of vegetables, fruit, nuts","2019-08-02","2019","Q3","8","2","2019-08-06","Turkey","2019-08-08","For import","2008191930","Hazelnuts","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Felixstowe, P","1","3000"
"Other/Preparations of vegetables, fruit, nuts","2019-08-05","2019","Q3","8","5","2019-08-05","Turkey","2019-08-05","For import","200819","Other than 2008 11, including mixtures","Chilled","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Dover DPI (CED)","1","19500"
"Other/Preparations of vegetables, fruit, nuts","2019-08-05","2019","Q3","8","5","2019-08-07","China","2019-08-02","For import","20081196","In immediate packings of a net content not exceeding 1|kg, Roasted","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Felixstowe, P","1","2000"
"Other/Preparations of vegetables, fruit, nuts","2019-08-05","2019","Q3","8","5","2019-08-07","China","2019-08-02","For import","20081196","In immediate packings of a net content not exceeding 1|kg, Roasted","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Felixstowe, P","1","3000"
"Other/Preparations of vegetables, fruit, nuts","2019-08-05","2019","Q3","8","5","2019-08-08","China","2019-08-02","For import","20081198","In immediate packings of a net content not exceeding 1|kg","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Felixstowe, P","1","660"
"Other/Preparations of vegetables, fruit, nuts","2019-08-05","2019","Q3","8","5","2019-08-09","Turkey","2019-08-11","For import","2008191930","Hazelnuts","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Felixstowe, P","1","12000"
"Other/Preparations of vegetables, fruit, nuts","2019-08-05","2019","Q3","8","5","2019-08-27","China","2019-08-02","For import","20081196","In immediate packings of a net content not exceeding 1|kg, Roasted","Ambient","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","Aflatoxins","Satisfactory","Human consumption","-","-","Felixstowe, P","1","3000"
"Other/Preparations of vegetables, fruit, nuts","2019-08-06","2019","Q3","8","6","2019-08-07","Argentina","2019-07-06","For import","20081191","In immediate packings of a net content exceeding 1|kg","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","London Gateway","1","20400"
"Other/Preparations of vegetables, fruit, nuts","2019-08-06","2019","Q3","8","6","2019-08-14","Argentina","2019-07-06","For import","20081191","In immediate packings of a net content exceeding 1|kg","Ambient","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","Aflatoxins","Satisfactory","Human consumption","-","-","London Gateway","1","20400"
"Other/Preparations of vegetables, fruit, nuts","2019-08-06","2019","Q3","8","6","2019-08-22","Lebanon","2019-08-02","For import","2001909711","Not containing added sugar","Ambient","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes",".DYES","Satisfactory","Human consumption","-","-","Felixstowe, P","1","1100"
"Other/Preparations of vegetables, fruit, nuts","2019-08-07","2019","Q3","8","7","2019-08-09","India","2019-07-26","For import","200811","Groundnuts","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Felixstowe, P","1","600"
"Other/Preparations of vegetables, fruit, nuts","2019-08-07","2019","Q3","8","7","2019-08-09","India","2019-07-26","For import","200811","Groundnuts","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Felixstowe, P","1","160"
"Other/Preparations of vegetables, fruit, nuts","2019-08-07","2019","Q3","8","7","2019-08-09","India","2019-07-26","For import","200811","Groundnuts","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Felixstowe, P","1","80"
"Other/Preparations of vegetables, fruit, nuts","2019-08-07","2019","Q3","8","7","2019-08-09","Turkey","2019-08-08","For import","2008191930","Hazelnuts","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Felixstowe, P","1","7000"
"Other/Preparations of vegetables, fruit, nuts","2019-08-07","2019","Q3","8","7","2019-08-09","Turkey","2019-08-08","For import","2008191930","Hazelnuts","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Felixstowe, P","1","10000"
"Other/Preparations of vegetables, fruit, nuts","2019-08-07","2019","Q3","8","7","2019-08-09","Turkey","2019-08-08","For import","2008191930","Hazelnuts","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Felixstowe, P","1","2000"
"Other/Preparations of vegetables, fruit, nuts","2019-08-09","2019","Q3","8","9","2019-08-11","China","2019-08-11","For import","20081191","In immediate packings of a net content exceeding 1|kg","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Felixstowe, P","1","5000"
"Other/Preparations of vegetables, fruit, nuts","2019-08-09","2019","Q3","8","9","2019-08-13","Turkey","2019-07-16","For import","2008191930","Hazelnuts","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Felixstowe, P","1","21000"
