CommoditiesGroup,Declaration,DeclarationYear,DeclarationQuarter,DeclarationMonth,DeclarationDay,CountryOfOrigin,ArrivalAtEntryPoint,Commodities,CommonNames,DocumentaryCheck,DocumentaryCheckResults,IdentityCheck,IdentityCheckResults,PhysicalCheck,PhysicalCheckResults,CommodityLaboratoryTest,CommodityLaboratoryTestResults,NetWeightKg,GrossWeightKg,NotAcceptable,NotAcceptableMeasureSelection,ReasonForRefusal,Decision,Year,Quarter,Month,Day
"Coffee, tea, mate and spices",2020-05-22,2020,Q2,5,22,India,2020-05-19,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,23640,23971,No,-,-,2020-05-29,2020,Q2,5,29
"Coffee, tea, mate and spices",2020-05-19,2020,Q2,5,19,India,2020-05-19,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,13000,13208,No,-,-,2020-05-29,2020,Q2,5,29
"Coffee, tea, mate and spices",2020-05-19,2020,Q2,5,19,India,2020-05-19,904219020,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,1000,1006,No,-,-,2020-05-22,2020,Q2,5,22
"Coffee, tea, mate and spices",2020-05-27,2020,Q2,5,27,India,2020-05-12,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,500,507,No,-,-,2020-05-27,2020,Q2,5,27
"Coffee, tea, mate and spices",2020-05-19,2020,Q2,5,19,China,2020-05-20,9022000,Other green tea (not fermented),Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,24200,24508,No,-,-,2020-06-04,2020,Q2,6,4
"Coffee, tea, mate and spices",2020-05-19,2020,Q2,5,19,China,2020-05-20,9022000,Other green tea (not fermented),Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,24200,24508,No,-,-,2020-06-04,2020,Q2,6,4
"Coffee, tea, mate and spices",2020-05-19,2020,Q2,5,19,China,2020-05-20,9022000,Other green tea (not fermented),Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,24200,24508,No,-,-,2020-06-04,2020,Q2,6,4
"Coffee, tea, mate and spices",2020-05-19,2020,Q2,5,19,China,2020-05-20,9022000,Other green tea (not fermented),Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,24200,24508,No,-,-,2020-06-04,2020,Q2,6,4
"Coffee, tea, mate and spices",2020-05-19,2020,Q2,5,19,China,2020-05-20,9022000,Other green tea (not fermented),Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,24200,24508,No,-,-,2020-06-04,2020,Q2,6,4
"Coffee, tea, mate and spices",2020-05-19,2020,Q2,5,19,Ethiopia,2020-05-10,9041200,Crushed or ground,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,1000,1100,No,-,-,2020-05-20,2020,Q2,5,20
"Coffee, tea, mate and spices",2020-05-21,2020,Q2,5,21,China,2020-05-23,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,25000,25200,No,-,-,2020-05-22,2020,Q2,5,22
"Coffee, tea, mate and spices",2020-05-26,2020,Q2,5,26,India,2020-05-23,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,6000,6020,No,-,-,2020-06-09,2020,Q2,6,9
"Coffee, tea, mate and spices",2020-05-21,2020,Q2,5,21,China,2020-05-20,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,Yes,Satisfactory,No,-,No,-,No,-,5360,6700,No,-,-,2020-05-26,2020,Q2,5,26
"Coffee, tea, mate and spices",2020-05-22,2020,Q2,5,22,China,2020-05-21,9023000,"Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3|kg",Yes,Satisfactory,No,-,No,-,No,-,320,365,No,-,-,2020-06-17,2020,Q2,6,17
"Coffee, tea, mate and spices",2020-05-22,2020,Q2,5,22,India,2020-05-25,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,288,320,No,-,-,2020-05-26,2020,Q2,5,26
"Coffee, tea, mate and spices",2020-05-26,2020,Q2,5,26,India,2020-05-26,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,6250,6345,No,-,-,2020-06-04,2020,Q2,6,4
"Coffee, tea, mate and spices",2020-05-26,2020,Q2,5,26,China,2020-05-27,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,3832,6705,No,-,-,2020-06-01,2020,Q2,6,1
"Coffee, tea, mate and spices",2020-05-26,2020,Q2,5,26,China,2020-05-27,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,Yes,Satisfactory,No,-,No,-,No,-,386,1143,No,-,-,2020-06-01,2020,Q2,6,1
"Coffee, tea, mate and spices",2020-05-26,2020,Q2,5,26,China,2020-05-27,9024000,Other black tea (fermented) and other partly fermented tea,Yes,Satisfactory,No,-,No,-,No,-,331,856,No,-,-,2020-06-01,2020,Q2,6,1
"Coffee, tea, mate and spices",2020-05-26,2020,Q2,5,26,China,2020-05-26,9022000,Other green tea (not fermented),Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,16755,17633,No,-,-,2020-06-09,2020,Q2,6,9
"Coffee, tea, mate and spices",2020-05-26,2020,Q2,5,26,Indonesia,2020-05-27,9081200,Crushed or ground,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,2500,2631,No,-,-,2020-06-04,2020,Q2,6,4
