DeclarationDate,YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,DecisionControlDate_Month,ControlDate,ConsignorCountryCode,DPE_Name,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,DescriptionOfCommodity,TotalNumberOfPackages,TotalNetWeight_kg,CommodityIntendedFor,DocumentaryCheck,AcceptableForTransfer,NotAcceptable1,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,AcceptableForReleaseForFreeCirculation,NotAcceptable2,ReasonForRefusal,DecsionControlDate,NumberOfConsignments
2017-06-01,2017,Q2,Jun,1,2017-06,-,IN,Felixstowe  P,IN,India,GB,GB,9042200,Crushed or ground,150,3000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,IN,Felixstowe  P,IN,India,GB,GB,9042200,Crushed or ground,250,5000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,IN,Felixstowe  P,IN,India,GB,GB,9042200,Crushed or ground,125,3125,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,EG,Felixstowe  P,EG,Egypt,GB,GB,8061010,Table grapes,2286,14358,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,EG,Felixstowe  P,EG,Egypt,GB,GB,8061010,Table grapes,2496,13728,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,KE,Stansted,KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),168,600,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,AR,London Gateway,AR,Argentina,GB,GB,12024200,Shelled whether or not broken,20,24680,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,EG,Felixstowe  P,EG,Egypt,GB,GB,8061010,Table grapes,2496,12480,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,EG,Felixstowe  P,EG,Egypt,GB,GB,8061010,Table grapes,2496,12480,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,KE,Heathrow,KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),58,435,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
