CommoditiesGroup,Declaration,DeclarationYear,DeclarationQuarter,DeclarationMonth,DeclarationDay,CountryOfOrigin,ArrivalAtEntryPoint,Commodities,CommonNames,DocumentaryCheck,DocumentaryCheckResults,IdentityCheck,IdentityCheckResults,PhysicalCheck,PhysicalCheckResults,CommodityLaboratoryTest,CommodityLaboratoryTestResults,NetWeightKg,GrossWeightKg,NotAcceptable,NotAcceptableMeasureSelection,ReasonForRefusal,Decision,Year,Quarter,Month,Day
"Coffee, tea, mate and spices",2020-11-04,2020,Q4,11,4,India,2020-11-04,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,15495,15940,No,-,-,2020-11-11,2020,Q4,11,11
"Coffee, tea, mate and spices",2020-11-04,2020,Q4,11,4,China,2020-11-12,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,22000,22284,No,-,-,2020-11-09,2020,Q4,11,9
"Coffee, tea, mate and spices",2020-11-04,2020,Q4,11,4,Pakistan,2020-11-05,9109190,Crushed or ground,Yes,Satisfactory,No,-,No,-,No,-,12274,13824,No,-,-,2020-11-05,2020,Q4,11,5
"Coffee, tea, mate and spices",2020-11-04,2020,Q4,11,4,Indonesia,2020-11-11,9081200,Crushed or ground,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,6250,6578,No,-,-,2020-11-24,2020,Q4,11,24
"Coffee, tea, mate and spices",2020-11-12,2020,Q4,11,12,China,2020-11-02,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,Yes,Satisfactory,No,-,No,-,No,-,140,156,No,-,-,2020-11-12,2020,Q4,11,12
"Coffee, tea, mate and spices",2020-11-05,2020,Q4,11,5,China,2020-10-31,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,24200,24508,No,-,-,2020-11-06,2020,Q4,11,6
"Coffee, tea, mate and spices",2020-11-17,2020,Q4,11,17,Indonesia,2020-11-05,9081200,Crushed or ground,Yes,Satisfactory,No,-,No,-,No,-,11250,11836,No,-,-,2020-11-17,2020,Q4,11,17
"Coffee, tea, mate and spices",2020-11-11,2020,Q4,11,11,China,2020-11-11,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,Yes,Satisfactory,No,-,No,-,No,-,8,9,No,-,-,2020-11-11,2020,Q4,11,11
"Coffee, tea, mate and spices",2020-11-05,2020,Q4,11,5,India,2020-11-07,904220090,Other,No,-,No,-,No,-,No,-,27,0,No,-,-,,2020,Q4,11,5
"Coffee, tea, mate and spices",2020-11-05,2020,Q4,11,5,India,2020-11-07,904220090,Other,No,-,No,-,No,-,No,-,34,0,No,-,-,,2020,Q4,11,5
"Coffee, tea, mate and spices",2020-11-16,2020,Q4,11,16,China,2020-11-03,9022000,Other green tea (not fermented),Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,4000,4400,No,-,-,2020-11-16,2020,Q4,11,16
