CommoditiesGroup,Declaration,DeclarationYear,DeclarationQuarter,DeclarationMonth,DeclarationDay,CountryOfOrigin,ArrivalAtEntryPoint,Commodities,CommonNames,DocumentaryCheck,DocumentaryCheckResults,IdentityCheck,IdentityCheckResults,PhysicalCheck,PhysicalCheckResults,CommodityLaboratoryTest,CommodityLaboratoryTestResults,NetWeightKg,GrossWeightKg,NotAcceptable,NotAcceptableMeasureSelection,ReasonForRefusal,Decision,Year,Quarter,Month,Day
"Coffee, tea, mate and spices",2020-08-20,2020,Q3,8,20,India,2020-07-26,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,160,178,No,-,-,2020-08-25,2020,Q3,8,25
"Coffee, tea, mate and spices",2020-08-20,2020,Q3,8,20,India,2020-07-26,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,168,264,No,-,-,2020-08-25,2020,Q3,8,25
"Coffee, tea, mate and spices",2020-08-20,2020,Q3,8,20,India,2020-07-27,9109105,Curry,Yes,Satisfactory,No,-,No,-,No,-,90,149,No,-,-,2020-08-25,2020,Q3,8,25
"Coffee, tea, mate and spices",2020-08-20,2020,Q3,8,20,India,2020-07-26,9109105,Curry,Yes,Satisfactory,No,-,No,-,No,-,72,122,No,-,-,2020-08-25,2020,Q3,8,25
"Coffee, tea, mate and spices",2020-08-11,2020,Q3,8,11,China,2020-08-11,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,2330,4877,No,-,-,2020-08-13,2020,Q3,8,13
"Coffee, tea, mate and spices",2020-08-11,2020,Q3,8,11,China,2020-08-11,9024000,Other black tea (fermented) and other partly fermented tea,Yes,Satisfactory,No,-,No,-,No,-,518,1431,No,-,-,2020-08-13,2020,Q3,8,13
"Coffee, tea, mate and spices",2020-08-13,2020,Q3,8,13,China,2020-08-11,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,Yes,Satisfactory,No,-,No,-,No,-,835,2465,No,-,-,2020-08-13,2020,Q3,8,13
"Coffee, tea, mate and spices",2020-08-11,2020,Q3,8,11,China,2020-08-05,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,25,28,No,-,-,2020-08-12,2020,Q3,8,12
"Coffee, tea, mate and spices",2020-08-11,2020,Q3,8,11,India,2020-08-11,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,7000,7118,No,-,-,2020-08-14,2020,Q3,8,14
"Coffee, tea, mate and spices",2020-08-11,2020,Q3,8,11,India,2020-08-11,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,5000,5090,No,-,-,2020-08-14,2020,Q3,8,14
