Commoditygroups,DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDateMonth,CountryofOrigin,ArrivalatDPE,Forimport,CommodityCode,Descriptionofcommodity,Producttemperature,Commodityintendedfor,Documentarycheck,AcceptableforTransfer,NotAcceptable,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,Acceptableforreleaseforfreecirculation,NotAcceptable2,ReasonforRefusal,DPEName,NoOfConsignments,NetWeightKg
Other/Miscellaneous edible preparations,2019-10-07,2019,Q4,10,7,2019-10-12,Japan,2019-10-12,For import,21039090,Other,Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,2700
Other/Miscellaneous edible preparations,2019-10-07,2019,Q4,10,7,2019-10-12,Japan,2019-10-12,For import,21039090,Other,Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,150
Other/Miscellaneous edible preparations,2019-10-09,2019,Q4,10,9,2019-10-16,Japan,2019-10-19,For import,21031000,Soya sauce,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,136
Other/Miscellaneous edible preparations,2019-10-14,2019,Q4,10,14,2019-10-17,Japan,2019-10-07,For import,21039090,Other,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,3012
Other/Miscellaneous edible preparations,2019-10-14,2019,Q4,10,14,2019-10-18,Japan,2019-10-19,For import,21039090,Other,Frozen,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,210
Other/Miscellaneous edible preparations,2019-10-14,2019,Q4,10,14,2019-10-18,Japan,2019-10-19,For import,21039090,Other,Frozen,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,3640
Other/Miscellaneous edible preparations,2019-10-14,2019,Q4,10,14,2019-10-18,Japan,2019-10-19,For import,21069092,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Frozen,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,112
Other/Miscellaneous edible preparations,2019-10-14,2019,Q4,10,14,2019-10-18,Japan,2019-10-19,For import,21061020,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,24
Other/Miscellaneous edible preparations,2019-10-14,2019,Q4,10,14,2019-10-21,Japan,2019-10-26,For import,21069092,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,132
Other/Miscellaneous edible preparations,2019-10-15,2019,Q4,10,15,2019-10-17,India,2019-10-11,For import,21039090,Other,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,300
Other/Miscellaneous edible preparations,2019-10-15,2019,Q4,10,15,2019-10-17,India,2019-10-11,For import,21039090,Other,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,48
Other/Miscellaneous edible preparations,2019-10-16,2019,Q4,10,16,2019-10-18,India,2019-10-17,For import,21039090,Other,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,180
Other/Miscellaneous edible preparations,2019-10-16,2019,Q4,10,16,2019-10-18,India,2019-10-17,For import,21039090,Other,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,180
Other/Miscellaneous edible preparations,2019-10-16,2019,Q4,10,16,2019-10-18,India,2019-10-17,For import,21039090,Other,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,18
Other/Miscellaneous edible preparations,2019-10-16,2019,Q4,10,16,2019-10-18,India,2019-10-17,For import,21039090,Other,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,36
Other/Miscellaneous edible preparations,2019-10-16,2019,Q4,10,16,2019-10-28,India,2019-10-17,For import,21039090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,360
Other/Miscellaneous edible preparations,2019-10-21,2019,Q4,10,21,2019-10-26,Japan,2019-10-26,For import,21039010,"Mango chutney, liquid",Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,38
Other/Miscellaneous edible preparations,2019-10-21,2019,Q4,10,21,2019-10-26,Japan,2019-10-26,For import,21031000,Soya sauce,Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,32
Other/Miscellaneous edible preparations,2019-10-21,2019,Q4,10,21,2019-10-26,Japan,2019-10-26,For import,21031000,Soya sauce,Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,234
Other/Miscellaneous edible preparations,2019-10-21,2019,Q4,10,21,2019-10-26,Japan,2019-10-26,For import,21039010,"Mango chutney, liquid",Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,45
Other/Miscellaneous edible preparations,2019-10-21,2019,Q4,10,21,2019-10-26,Japan,2019-10-26,For import,21039090,Other,Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,16
Other/Miscellaneous edible preparations,2019-10-21,2019,Q4,10,21,2019-10-26,Japan,2019-10-26,For import,21069092,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,37
Other/Miscellaneous edible preparations,2019-10-22,2019,Q4,10,22,2019-10-23,Japan,2019-10-24,For import,21031000,Soya sauce,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,2218
Other/Miscellaneous edible preparations,2019-10-22,2019,Q4,10,22,2019-10-23,Japan,2019-10-24,For import,21041000,Soups and broths and preparations therefor,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,372
Other/Miscellaneous edible preparations,2019-10-22,2019,Q4,10,22,2019-10-23,Japan,2019-10-24,For import,21069092,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,0
