DeclarationDate,YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,DecisionControlDate_Month,ControlDate,ConsignorCountryCode,DPE_Name,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,DescriptionOfCommodity,TotalNumberOfPackages,TotalNetWeight_kg,CommodityIntendedFor,DocumentaryCheck,AcceptableForTransfer,NotAcceptable1,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,AcceptableForReleaseForFreeCirculation,NotAcceptable2,ReasonForRefusal,DecsionControlDate,NumberOfConsignments
2017-02-01,2017,Q1,Feb,1,2017-02,-,JP,Southampton P,JP,Japan,GB,GB,19041030,Obtained from rice,243,1450.81,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,JP,Southampton P,JP,Japan,GB,GB,19059055,Extruded or expanded products savoury or salted,243,1450.81,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,JP,Southampton P,JP,Japan,GB,GB,20019097,Other,243,1450.81,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,JP,Southampton P,JP,Japan,GB,GB,21031000,Soya sauce,243,1450.81,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,JP,Southampton P,JP,Japan,GB,GB,21039090,Other,243,1450.81,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,JP,Southampton P,JP,Japan,GB,GB,21069092,Containing no milkfats sucrose isoglucose glucose or starch or containing by weight less than 1.5|% milkfat 5|% sucrose or isoglucose 5|% glucose or starch,243,1450.81,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,JP,Southampton P,JP,Japan,GB,GB,22029919,Other,243,1450.81,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,JP,Southampton P,JP,Japan,GB,GB,22090091,2|litres or less,243,1450.81,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,JP,Southampton P,JP,Japan,GB,GB,12019000,Other,70,273.5,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,caesium-134,satisfactory,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,JP,Southampton P,JP,Japan,GB,GB,12019000,Other,70,273.5,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,caesium-137,satisfactory,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,JP,Southampton P,JP,Japan,GB,GB,07123200,Wood ears (Auricularia spp.),62,399.52,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,caesium-134,satisfactory,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,JP,Southampton P,JP,Japan,GB,GB,07123200,Wood ears (Auricularia spp.),62,399.52,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,caesium-137,satisfactory,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,JP,Southampton P,JP,Japan,GB,GB,19041030,Obtained from rice,62,399.52,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,caesium-134,satisfactory,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,JP,Southampton P,JP,Japan,GB,GB,19041030,Obtained from rice,62,399.52,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,caesium-137,satisfactory,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,JP,Southampton P,JP,Japan,GB,GB,19059055,Extruded or expanded products savoury or salted,62,399.52,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,caesium-134,satisfactory,Human consumption,-,-,2017-02,1
