"Commoditygroups","DeclarationDate","YearofDeclaration","QuarterofDeclaration","MonthofDeclaration","DayofDeclaration","DecisionControlDateMonth","CountryofOrigin","ArrivalatDPE","Forimport","CommodityCode","Descriptionofcommodity","Producttemperature","Commodityintendedfor","Documentarycheck","AcceptableforTransfer","NotAcceptable","IdentityCheck","PhysicalCheck","LaboratoryTests","TestedFor","Results","Acceptableforreleaseforfreecirculation","NotAcceptable2","ReasonforRefusal","DPEName","NoOfConsignments","NetWeightKg"
"Other/Miscellaneous edible preparations","20/05/2019","2019","Q2","5","20","24/05/2019","Japan","23/05/2019","For import","21039090","Other","Frozen","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","102"
"Other/Miscellaneous edible preparations","20/05/2019","2019","Q2","5","20","24/05/2019","Japan","23/05/2019","For import","21041000","Soups and broths and preparations therefor","Frozen","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","480"
"Other/Miscellaneous edible preparations","20/05/2019","2019","Q2","5","20","24/05/2019","Japan","23/05/2019","For import","21069092","Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","9"
"Other/Miscellaneous edible preparations","21/05/2019","2019","Q2","5","21","22/05/2019","Japan","23/05/2019","For import","21039010","Mango chutney, liquid","Chilled","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","320"
"Other/Miscellaneous edible preparations","22/05/2019","2019","Q2","5","22","28/05/2019","Japan","29/05/2019","For import","21039090","Other","Frozen","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Felixstowe, P","1","7300"
"Other/Miscellaneous edible preparations","23/05/2019","2019","Q2","5","23","23/05/2019","Japan","19/05/2019","For import","21069092","Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Felixstowe, P","1","546"
"Other/Preparations of cereals, flour, starch or milk","16/04/2019","2019","Q2","4","16","01/05/2019","China","14/04/2019","For import","19023090","Other","Ambient","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","GM rice","Satisfactory","Human consumption","-","-","Southampton, P","1","6660"
"Other/Preparations of cereals, flour, starch or milk","16/04/2019","2019","Q2","4","16","01/05/2019","China","14/04/2019","For import","19023090","Other","Ambient","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","GM rice","Satisfactory","Human consumption","-","-","Southampton, P","1","5400"
"Other/Preparations of cereals, flour, starch or milk","16/04/2019","2019","Q2","4","16","09/05/2019","China","18/04/2019","For import","19023090","Other","Ambient","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","GM rice","Satisfactory","Human consumption","-","-","Felixstowe, P","1","13173"
"Other/Preparations of cereals, flour, starch or milk","17/04/2019","2019","Q2","4","17","07/05/2019","China","20/04/2019","For import","19023090","Other","Ambient","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","GM rice","Satisfactory","Human consumption","-","-","Felixstowe, P","1","16200"
