CommoditiesGroup,Declaration,DeclarationYear,DeclarationQuarter,DeclarationMonth,DeclarationDay,CountryOfOrigin,ArrivalAtEntryPoint,Commodities,CommonNames,DocumentaryCheck,DocumentaryCheckResults,IdentityCheck,IdentityCheckResults,PhysicalCheck,PhysicalCheckResults,CommodityLaboratoryTest,CommodityLaboratoryTestResults,NetWeightKg,GrossWeightKg,NotAcceptable,NotAcceptableMeasureSelection,ReasonForRefusal,Decision,Year,Quarter,Month,Day
"Coffee, tea, mate and spices",2020-10-02,2020,Q4,10,2,India,2020-10-02,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,400,416,No,-,-,2020-10-15,2020,Q4,10,42
"Coffee, tea, mate and spices",2020-10-02,2020,Q4,10,2,India,2020-10-02,904219020,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,200,210,No,-,-,2020-10-15,2020,Q4,10,42
"Coffee, tea, mate and spices",2020-10-02,2020,Q4,10,2,India,2020-10-02,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,100,104,No,-,-,2020-10-15,2020,Q4,10,42
"Coffee, tea, mate and spices",2020-10-08,2020,Q4,10,8,India,2020-09-21,904219080,Other,Yes,Satisfactory,No,-,No,-,No,-,15,16,No,-,-,2020-10-13,2020,Q4,10,42
"Coffee, tea, mate and spices",2020-10-08,2020,Q4,10,8,India,2020-09-21,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,15,16,No,-,-,2020-10-13,2020,Q4,10,42
"Coffee, tea, mate and spices",2020-10-02,2020,Q4,10,2,Viet Nam,2020-10-03,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,152,334,No,-,-,2020-10-03,2020,Q4,10,40
"Coffee, tea, mate and spices",2020-10-05,2020,Q4,10,5,India,2020-10-05,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,12500,12575,No,-,-,2020-10-09,2020,Q4,10,41
"Coffee, tea, mate and spices",2020-10-05,2020,Q4,10,5,China,2020-10-06,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,15000,15120,No,-,-,2020-10-07,2020,Q4,10,41
"Coffee, tea, mate and spices",2020-10-16,2020,Q4,10,16,India,2020-10-07,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,14000,14157,No,-,-,2020-10-17,2020,Q4,10,42
"Coffee, tea, mate and spices",2020-10-27,2020,Q4,10,27,India,2020-10-07,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,5000,5045,No,-,-,2020-11-02,2020,Q4,11,45
"Coffee, tea, mate and spices",2020-10-09,2020,Q4,10,9,India,2020-10-07,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,17000,17272,No,-,-,2020-10-28,2020,Q4,10,44
"Coffee, tea, mate and spices",2020-10-09,2020,Q4,10,9,Pakistan,2020-10-06,9109190,Crushed or ground,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,6368,6974,No,-,-,2020-10-20,2020,Q4,10,43
"Coffee, tea, mate and spices",2020-10-06,2020,Q4,10,6,China,2020-10-11,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,134,212,No,-,-,2020-11-06,2020,Q4,11,45
"Coffee, tea, mate and spices",2020-10-07,2020,Q4,10,7,India,2020-10-06,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,12000,12216,No,-,-,2020-10-07,2020,Q4,10,41
"Coffee, tea, mate and spices",2020-10-06,2020,Q4,10,6,India,2020-09-30,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,2000,2032,No,-,-,2020-10-08,2020,Q4,10,41
"Coffee, tea, mate and spices",2020-10-21,2020,Q4,10,21,China,2020-10-10,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,2500,25200,No,-,-,2020-10-30,2020,Q4,10,44
"Coffee, tea, mate and spices",2020-10-06,2020,Q4,10,6,India,2020-10-12,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,8000,8112,No,-,-,2020-10-23,2020,Q4,10,43
"Coffee, tea, mate and spices",2020-10-06,2020,Q4,10,6,Pakistan,2020-10-12,9109190,Crushed or ground,Yes,Satisfactory,No,-,No,-,No,-,6372,6792,No,-,-,2020-10-12,2020,Q4,10,42
"Coffee, tea, mate and spices",2020-10-09,2020,Q4,10,9,India,2020-10-07,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,17000,17272,No,-,-,2020-10-09,2020,Q4,10,41
"Coffee, tea, mate and spices",2020-10-06,2020,Q4,10,6,India,2020-10-12,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,8000,8112,No,-,-,2020-10-12,2020,Q4,10,42
"Coffee, tea, mate and spices",2020-10-07,2020,Q4,10,7,China,2020-10-07,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,Yes,Satisfactory,No,-,No,-,No,-,50,59,No,-,-,2020-10-07,2020,Q4,10,41
"Coffee, tea, mate and spices",2020-10-07,2020,Q4,10,7,China,2020-10-07,9024000,Other black tea (fermented) and other partly fermented tea,Yes,Satisfactory,No,-,No,-,No,-,43,44,No,-,-,2020-10-07,2020,Q4,10,41
"Coffee, tea, mate and spices",2020-10-09,2020,Q4,10,9,India,2020-10-07,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,1500,1595,No,-,-,2020-10-09,2020,Q4,10,41
"Coffee, tea, mate and spices",2020-10-07,2020,Q4,10,7,India,2020-10-07,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,3000,3190,No,-,-,2020-10-08,2020,Q4,10,41
"Coffee, tea, mate and spices",2020-10-07,2020,Q4,10,7,China,2020-10-07,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,50,54,No,-,-,2020-10-07,2020,Q4,10,41
"Coffee, tea, mate and spices",2020-10-07,2020,Q4,10,7,India,2020-10-03,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,600,825,No,-,-,2020-10-08,2020,Q4,10,41
"Coffee, tea, mate and spices",2020-10-07,2020,Q4,10,7,India,2020-10-03,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,1500,2063,No,-,-,2020-10-08,2020,Q4,10,41
"Coffee, tea, mate and spices",2020-10-07,2020,Q4,10,7,India,2020-10-03,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,900,1069,No,-,-,2020-10-08,2020,Q4,10,41
"Coffee, tea, mate and spices",2020-10-08,2020,Q4,10,8,India,2020-10-09,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,12500,12545,No,-,-,2020-10-19,2020,Q4,10,43
"Coffee, tea, mate and spices",2020-10-08,2020,Q4,10,8,India,2020-10-16,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,18000,18180,No,-,-,2020-10-15,2020,Q4,10,42
"Coffee, tea, mate and spices",2020-10-13,2020,Q4,10,13,India,2020-09-26,9109190,Crushed or ground,Yes,Satisfactory,No,-,No,-,No,-,150,188,No,-,-,2020-10-17,2020,Q4,10,42
"Coffee, tea, mate and spices",2020-10-13,2020,Q4,10,13,India,2020-09-26,9109190,Crushed or ground,Yes,Satisfactory,No,-,No,-,No,-,300,375,No,-,-,2020-10-17,2020,Q4,10,42
"Coffee, tea, mate and spices",2020-10-13,2020,Q4,10,13,India,2020-09-26,9109190,Crushed or ground,Yes,Satisfactory,No,-,No,-,No,-,60,75,No,-,-,2020-10-17,2020,Q4,10,42
"Coffee, tea, mate and spices",2020-10-13,2020,Q4,10,13,India,2020-09-26,9109190,Crushed or ground,Yes,Satisfactory,No,-,No,-,No,-,90,113,No,-,-,2020-10-17,2020,Q4,10,42
"Coffee, tea, mate and spices",2020-10-13,2020,Q4,10,13,India,2020-09-26,9109190,Crushed or ground,Yes,Satisfactory,No,-,No,-,No,-,90,113,No,-,-,2020-10-17,2020,Q4,10,42
"Coffee, tea, mate and spices",2020-10-13,2020,Q4,10,13,India,2020-09-26,9109190,Crushed or ground,Yes,Satisfactory,No,-,No,-,No,-,150,188,No,-,-,2020-10-17,2020,Q4,10,42
"Coffee, tea, mate and spices",2020-10-13,2020,Q4,10,13,India,2020-09-26,9109190,Crushed or ground,Yes,Satisfactory,No,-,No,-,No,-,1200,1500,No,-,-,2020-10-17,2020,Q4,10,42
