Commoditygroups,DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDateMonth,CountryofOrigin,ArrivalatDPE,Forimport,CommodityCode,Descriptionofcommodity,Producttemperature,Commodityintendedfor,Documentarycheck,AcceptableforTransfer,NotAcceptable,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,Acceptableforreleaseforfreecirculation,NotAcceptable2,ReasonforRefusal,DPEName,NoOfConsignments,NetWeightKg
"Other/Preparations of cereals, flour, starch or milk",2019-12-04,2019,Q4,12,4,2019-12-30,China,2019-12-08,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Southampton, P",1,1935
"Other/Preparations of cereals, flour, starch or milk",2019-12-04,2019,Q4,12,4,2019-12-30,China,2019-12-08,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Southampton, P",1,1834
"Other/Preparations of cereals, flour, starch or milk",2019-12-05,2019,Q4,12,5,2019-12-16,China,2019-12-04,For import,19022099,Other,Frozen,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,2397
"Other/Preparations of cereals, flour, starch or milk",2019-12-05,2019,Q4,12,5,2019-12-23,China,2019-12-08,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Southampton, P",1,3060
"Other/Preparations of cereals, flour, starch or milk",2019-12-05,2019,Q4,12,5,2019-12-23,China,2019-12-08,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Southampton, P",1,5040
"Other/Preparations of cereals, flour, starch or milk",2019-12-05,2019,Q4,12,5,2019-12-23,China,2019-12-08,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Southampton, P",1,2160
"Other/Preparations of cereals, flour, starch or milk",2019-12-05,2019,Q4,12,5,2019-12-27,China,2019-12-08,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Southampton, P",1,3060
"Other/Preparations of cereals, flour, starch or milk",2019-12-05,2019,Q4,12,5,2019-12-27,China,2019-12-08,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Southampton, P",1,5400
"Other/Preparations of cereals, flour, starch or milk",2019-12-05,2019,Q4,12,5,2019-12-27,China,2019-12-08,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Southampton, P",1,1980
"Other/Preparations of cereals, flour, starch or milk",2019-12-10,2019,Q4,12,10,2019-12-24,China,2019-12-09,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,18609
"Other/Preparations of vegetables, fruit, nuts",2019-10-14,2019,Q4,10,14,2019-12-12,Turkey,2019-10-06,For import,20079997,Other,Ambient,Human consumption,Not satisfactory,-,Destruction,Not satisfactory,/,no,-,-,-,-,Absence/Invalid certificate (if applicable), ,1,380
"Other/Preparations of vegetables, fruit, nuts",2019-11-08,2019,Q4,11,8,2019-12-23,Turkey,2019-11-07,For import,2008191930,Hazelnuts,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Not satisfactory,yes,Aflatoxins,Not satisfactory,-,Re-dispatching,-,"Felixstowe, P",1,5000
"Other/Preparations of vegetables, fruit, nuts",2019-11-18,2019,Q4,11,18,2019-12-05,Turkey,2019-11-20,For import,2008999960,Figs,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,London Gateway,1,5390
"Other/Preparations of vegetables, fruit, nuts",2019-11-25,2019,Q4,11,25,2019-12-13,India,2019-11-01,For import,20081191,In immediate packings of a net content exceeding 1|kg,Ambient,Human consumption,/,-,-,/,/,no,-,-,Human consumption,-,-, ,1,336
"Other/Preparations of vegetables, fruit, nuts",2019-11-25,2019,Q4,11,25,2019-12-13,India,2019-11-01,For import,20081196,"In immediate packings of a net content not exceeding 1|kg, Roasted",Ambient,Human consumption,/,-,-,/,/,no,-,-,Human consumption,-,-, ,1,400
"Other/Preparations of vegetables, fruit, nuts",2019-11-26,2019,Q4,11,26,2019-12-06,Turkey,2019-11-28,For import,200819,"Other than 2008 11, including mixtures",Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,14000
