DeclarationDate,YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,DecisionControlDate_Month,ConsignorCountryCode,DPE_Name,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,DescriptionOfCommodity,TotalNumberOfPackages,TotalNetWeight_KG,CommodityIntendedFor,DocumentaryCheck,AcceptableForTransfer,NotAcceptable1 ,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,AcceptableForReleaseForFreeCirculation ,NotAcceptable2,ReasonForRefusal,NoOfConsignments
2017-11-23,2017,Q4,Nov,23,2017-12,TR,Liverpool,TR,Turkey,GB,GB,8062090,Other,1650,20625,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-11-23,2017,Q4,Nov,23,2017-12,TR,Liverpool,TR,Turkey,GB,GB,8062090,Other,1360,17000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-11-23,2017,Q4,Nov,23,2017-12,CN,"Felixstowe, P",CN,China,GB,GB,20081191,In immediate packings of a net content exceeding 1|kg,1750,17500,Human consumption,Satisfactory,yes,-,Satisfactory,Not Done,No,-,-,Human consumption,-,-,1
2017-11-23,2017,Q4,Nov,23,2017-12,CN,"Felixstowe, P",CN,China,GB,GB,12024200,"Shelled, whether or not broken",20,19000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-11-23,2017,Q4,Nov,23,2017-12,CN,"Felixstowe, P",CN,China,GB,GB,12024200,"Shelled, whether or not broken",760,19000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-11-23,2017,Q4,Nov,23,2017-12,CN,"Felixstowe, P",CN,China,GB,GB,12024200,"Shelled, whether or not broken",800,20000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-11-23,2017,Q4,Nov,23,2017-12,CN,"Felixstowe, P",CN,China,NL,GB,12024200,"Shelled, whether or not broken",780,19500,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-11-23,2017,Q4,Nov,23,2017-12,TR,London Gateway,TR,Turkey,GB,GB,8042090,Dried,800,8000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-11-24,2017,Q4,Nov,24,2017-12,TR,London Gateway,TR,Turkey,GB,GB,20085098,Of less than 5|kg,3000,2160,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,sulphites,satisfactory,Human consumption,-,-,1
2017-11-24,2017,Q4,Nov,24,2017-12,IN,"Felixstowe, P",IN,India,GB,GB,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),1000,25000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-11-24,2017,Q4,Nov,24,2017-12,BR,London Gateway,BR,Brazil,GB,GB,12024200,"Shelled, whether or not broken",20,25000,Feedingstuff,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxin B1,satisfactory,Feedingstuff,-,-,1
2017-11-24,2017,Q4,Nov,24,2017-12,DO,Gatwick,DO,Dominican Republic,GB,GB,708200010,"Yard long beans (Vigna unguiculata spp. sesquipedalis, vigna unguiculata spp. unguiculata)",70,350,Human consumption,Satisfactory,no,2. Destruction,Satisfactory,Not Satisfactory,Yes,Diazinon,notsatisfactory,-,destruction,4. Chemical contamination,1
